"gene","x","y","shape.x","module.x","label","is_hit","hit_dir","best_lfc","best_fdr","nlp","fill_col","border_col","node_r","label_size","label_face","label_col","has_sh2","module.y","shape.y","location","module","shape"
"CD247",0.6,9.7,"receptor","TCR/Proximal","CD3<U+03B6>",TRUE,"depleted",-1.1377,0,7.2023,"#08519C","#08306B",0.5,2.1,"bold","#111111",FALSE,"TCR/Proximal","receptor","pathway",NA,NA
"CD3D",1.2,9.7,"receptor","TCR/Proximal","CD3d",TRUE,"depleted",-0.9025,0,7.2023,"#08519C","#08306B",0.5,2.1,"bold","#111111",FALSE,"TCR/Proximal","receptor","pathway",NA,NA
"CD3E",1.8,9.7,"receptor","TCR/Proximal","CD3e",TRUE,"depleted",-0.4488,0,7.2023,"#08519C","#08306B",0.5,2.1,"bold","#111111",FALSE,"TCR/Proximal","receptor","pathway",NA,NA
"LCK",1.7,8.2,"kinase","TCR/Proximal","LCK",TRUE,"depleted",-0.5534,0,7.2023,"#08519C","#08306B",0.5,2.1,"bold","#111111",TRUE,"TCR/Proximal","kinase","pathway",NA,NA
"LAT",1.6,6.8,"adaptor","TCR/Proximal","LAT",TRUE,"depleted",-1.1532,0,7.2023,"#08519C","#08306B",0.5,2.1,"bold","#111111",FALSE,"TCR/Proximal","adaptor","pathway",NA,NA
"LCP2",0.7,6,"adaptor","TCR/Proximal","SLP-76",TRUE,"depleted",-1.6633,0,7.2023,"#08519C","#08306B",0.5,2.1,"bold","#111111",FALSE,"TCR/Proximal","adaptor","pathway",NA,NA
"GRAP2",2.3,7,"adaptor","TCR/Proximal","GRAP2",TRUE,"depleted",-0.4818,0,6.2908,"#08519C","#08306B",0.5,2.1,"bold","#111111",TRUE,"TCR/Proximal","adaptor","pathway",NA,NA
"VAV1",0.4,5.2,"adaptor","TCR/Proximal","VAV1",TRUE,"depleted",-1.6458,0,7.2023,"#08519C","#08306B",0.5,2.1,"bold","#111111",TRUE,"TCR/Proximal","adaptor","pathway",NA,NA
"SH2D1A",1.1,5.2,"adaptor","TCR/Proximal","SAP",TRUE,"depleted",-0.594,0,7.2023,"#08519C","#08306B",0.5,2.1,"bold","#111111",TRUE,"TCR/Proximal","adaptor","pathway",NA,NA
"RAC2",0.4,4.5,"kinase","TCR/Proximal","RAC2",TRUE,"depleted",-0.5659,0,6.5868,"#08519C","#08306B",0.5,2.1,"bold","#111111",FALSE,"TCR/Proximal","kinase","pathway",NA,NA
"RHOH",1.8,4.5,"adaptor","TCR/Proximal","RhoH",TRUE,"depleted",-0.7526,0,7.2023,"#08519C","#08306B",0.5,2.1,"bold","#111111",FALSE,"TCR/Proximal","adaptor","pathway",NA,NA
"PLCG1",3.8,6.8,"kinase","MAPK/NFAT","PLC<U+03B3>1",TRUE,"depleted",-0.3482,0,6.4051,"#08519C","#08306B",0.5,2.1,"bold","#111111",TRUE,"MAPK/NFAT","kinase","pathway",NA,NA
"RASGRP1",3.8,5.9,"adaptor","MAPK/NFAT","RasGRP1",TRUE,"depleted",-0.51,0,5.7277,"#08519C","#08306B",0.4896,2.1,"bold","#111111",FALSE,"MAPK/NFAT","adaptor","pathway",NA,NA
"FOXO1",7.5,0.9,"tf","PI3K/AKT","FOXO1",TRUE,"depleted",-0.3215,0,5.7519,"#08519C","#08306B",0.4905,2.1,"bold","#111111",FALSE,"PI3K/AKT","tf","pathway",NA,NA
"CCND2",8.5,3.2,"adaptor","PI3K/AKT","CycD2",TRUE,"depleted",-0.6209,0,7.2023,"#08519C","#08306B",0.5,2.1,"bold","#111111",FALSE,"PI3K/AKT","adaptor","pathway",NA,NA
"PRKCQ",10.9,6.5,"kinase","NF-<U+03BA>B","PKC<U+03B8>",TRUE,"depleted",-0.3501,0,4.8004,"#08519C","#08306B",0.454,2.1,"bold","#111111",FALSE,"NF-<U+03BA>B","kinase","pathway",NA,NA
"CARD11",11.5,5.7,"complex","NF-<U+03BA>B","CARMA1",TRUE,"depleted",-0.4827,0,7.2023,"#08519C","#08306B",0.5,2.1,"bold","#111111",FALSE,"NF-<U+03BA>B","complex","pathway",NA,NA
"RELA",11.2,0.9,"tf","NF-<U+03BA>B","p65",TRUE,"depleted",-0.6763,0,7.2023,"#08519C","#08306B",0.5,2.1,"bold","#111111",FALSE,"NF-<U+03BA>B","tf","pathway",NA,NA
"IRF4",10.8,0.9,"tf","NF-<U+03BA>B","IRF4",TRUE,"depleted",-0.5691,0,5.2035,"#08519C","#08306B",0.4695,2.1,"bold","#111111",FALSE,"NF-<U+03BA>B","tf","pathway",NA,NA
"GATA3",12.9,0.9,"tf","NF-<U+03BA>B","GATA3",TRUE,"depleted",-0.4289,0,6.645,"#08519C","#08306B",0.5,2.1,"bold","#111111",FALSE,"NF-<U+03BA>B","tf","pathway",NA,NA
"SUPT4H1",10.8,4.9,"adaptor","NF-<U+03BA>B","SUPT4H1",TRUE,"depleted",-0.8828,0,7.2023,"#08519C","#08306B",0.5,2.1,"bold","#111111",FALSE,"NF-<U+03BA>B","adaptor","pathway",NA,NA
"MYC",18.5,0.9,"tf","Epi/Apoptosis","MYC",TRUE,"depleted",-0.9559,0,7.2023,"#08519C","#08306B",0.5,2.1,"bold","#111111",FALSE,"Epi/Apoptosis","tf","pathway",NA,NA
"PHB",22.6,6.2,"complex","Mito/Metabolic","PHB",TRUE,"depleted",-0.3863,0,6.4798,"#08519C","#08306B",0.5,2.1,"bold","#111111",FALSE,"Mito/Metabolic","complex","pathway",NA,NA
"PHB2",23.4,6.2,"complex","Mito/Metabolic","PHB2",TRUE,"depleted",-0.5802,0,5.9588,"#08519C","#08306B",0.4984,2.1,"bold","#111111",FALSE,"Mito/Metabolic","complex","pathway",NA,NA
"NFS1",25,6.2,"adaptor","Mito/Metabolic","NFS1",TRUE,"depleted",-0.558,0,4.8158,"#08519C","#08306B",0.4546,2.1,"bold","#111111",FALSE,"Mito/Metabolic","adaptor","pathway",NA,NA
"VHL",23.4,5,"adaptor","Mito/Metabolic","VHL",TRUE,"depleted",-0.6938,0,7.2023,"#08519C","#08306B",0.5,2.1,"bold","#111111",FALSE,"Mito/Metabolic","adaptor","pathway",NA,NA
"GCLM",25,5,"adaptor","Mito/Metabolic","GCLM",TRUE,"depleted",-0.3277,0,5.3289,"#08519C","#08306B",0.4743,2.1,"bold","#111111",FALSE,"Mito/Metabolic","adaptor","pathway",NA,NA
"AK2",24.6,7.2,"kinase","Mito/Metabolic","AK2",TRUE,"depleted",-0.3072,0,7.2023,"#08519C","#08306B",0.5,2.1,"bold","#111111",FALSE,"Mito/Metabolic","kinase","pathway",NA,NA
"HUWE1",23.4,2.5,"adaptor","Mito/Metabolic","HUWE1",TRUE,"depleted",-0.4847,0,6.1598,"#08519C","#08306B",0.5,2.1,"bold","#111111",FALSE,"Mito/Metabolic","adaptor","pathway",NA,NA
